UUR,TOTAAL
00:00,360
00:15,360
00:30,360
00:45,360
01:00,360
01:15,360
01:30,360
01:45,360
02:00,360
02:15,360
02:30,360
02:45,360
03:00,360
03:15,360
03:30,360
03:45,360
04:00,360
04:15,360
04:30,360
04:45,360
05:00,360
05:15,360
05:30,360
05:45,360
06:00,360
06:15,360
06:30,360
06:45,360
07:00,420
07:15,420
07:30,420
07:45,420
08:00,960
08:15,360
08:30,360
08:45,360
09:00,360
09:15,360
09:30,360
09:45,360
10:00,360
10:15,360
10:30,360
10:45,360
11:00,360
11:15,360
11:30,360
11:45,360
12:00,960
12:15,360
12:30,360
12:45,360
13:00,360
13:15,360
13:30,360
13:45,360
14:00,2360
14:15,2360
14:30,2360
14:45,2360
15:00,2360
15:15,2360
15:30,2360
15:45,2360
16:00,360
16:15,360
16:30,360
16:45,360
17:00,360
17:15,360
17:30,360
17:45,360
18:00,2020
18:15,2020
18:30,5820
18:45,4520
19:00,460
19:15,460
19:30,460
19:45,460
20:00,460
20:15,460
20:30,460
20:45,460
21:00,460
21:15,460
21:30,460
21:45,460
22:00,420
22:15,420
22:30,420
22:45,420
23:00,360
23:15,360
23:30,360
23:45,360
